iter	Passed	Remaining
0	69	13798
1	70	6998
2	72	4747
3	75	3694
4	78	3044
5	79	2581
6	81	2248
7	83	1999
8	85	1813
9	87	1653
10	88	1522
11	91	1429
12	92	1335
13	95	1263
14	98	1209
15	99	1146
16	101	1088
17	103	1048
18	105	1002
19	106	961
20	109	935
21	113	917
22	116	894
23	117	863
24	119	834
25	121	809
26	122	785
27	124	761
28	127	751
29	129	733
30	130	713
31	132	693
32	134	680
33	136	668
34	140	660
35	142	648
36	145	640
37	147	627
38	148	613
39	151	605
40	153	595
41	154	582
42	157	573
43	158	563
44	160	553
45	162	543
46	164	535
47	167	529
48	168	519
49	170	511
50	171	501
51	173	492
52	174	483
53	176	475
54	176	466
55	178	458
56	179	450
57	180	443
58	182	436
59	183	428
60	185	421
61	186	415
62	188	409
63	189	403
64	191	398
65	193	392
66	194	386
67	196	381
68	197	375
69	199	370
70	200	364
71	202	359
72	203	354
73	205	349
74	206	344
75	208	339
76	209	334
77	210	329
78	212	325
79	213	320
80	215	316
81	216	311
82	218	307
83	219	303
84	220	298
85	222	294
86	223	290
87	225	286
88	226	282
89	227	278
90	228	273
91	230	270
92	231	266
93	232	262
94	234	258
95	235	255
96	237	251
97	238	248
98	240	244
99	241	241
100	243	238
101	244	235
102	245	231
103	247	228
104	248	225
105	250	221
106	251	218
107	252	215
108	254	212
109	255	208
110	257	206
111	258	202
112	259	199
113	260	196
114	262	193
115	263	190
116	264	187
117	266	184
118	267	182
119	269	179
120	270	176
121	271	173
122	273	171
123	275	168
124	276	166
125	278	163
126	279	160
127	281	158
128	282	155
129	283	152
130	284	150
131	286	147
132	287	144
133	288	142
134	290	139
135	291	137
136	292	134
137	294	132
138	295	129
139	296	127
140	298	124
141	299	122
142	301	120
143	301	117
144	303	114
145	304	112
146	305	110
147	307	107
148	308	105
149	309	103
150	311	100
151	312	98
152	313	96
153	315	94
154	316	91
155	318	89
156	319	87
157	321	85
158	322	83
159	323	80
160	325	78
161	326	76
162	327	74
163	328	72
164	330	70
165	331	67
166	333	65
167	334	63
168	336	61
169	337	59
170	338	57
171	339	55
172	341	53
173	342	51
174	343	49
175	345	47
176	346	45
177	348	43
178	349	41
179	351	39
180	353	37
181	356	35
182	359	33
183	360	31
184	362	29
185	364	27
186	365	25
187	367	23
188	368	21
189	369	19
190	370	17
191	374	15
192	375	13
193	377	11
194	379	9
195	380	7
196	382	5
197	383	3
198	386	1
199	389	0
