iter	RMSE
0	0.8780903809
1	0.8476330044
2	0.818118039
3	0.7914063568
4	0.7651447001
5	0.7413586995
6	0.7190718709
7	0.6977462335
8	0.6782031706
9	0.6590749597
10	0.6422039077
11	0.6242662979
12	0.6072336663
13	0.5917331439
14	0.5760831591
15	0.5622353417
16	0.5497782172
17	0.5376656154
18	0.5265866929
19	0.5159025994
20	0.5064883636
21	0.4969037633
22	0.4882310615
23	0.4799892247
24	0.4721165985
25	0.4648848163
26	0.4579743108
27	0.4520468949
28	0.4461273231
29	0.4400119472
30	0.4348596787
31	0.429880541
32	0.4253284057
33	0.4208784542
34	0.4171897044
35	0.4133647872
36	0.4093286449
37	0.4061976443
38	0.4024677226
39	0.3992786623
40	0.3968059943
41	0.3941322232
42	0.3916885861
43	0.3892127219
44	0.3874334084
45	0.3853851439
46	0.3836543245
47	0.3818240874
48	0.3803349041
49	0.3787384849
50	0.3775017686
51	0.3762012443
52	0.3753393323
53	0.37416499
54	0.3732937332
55	0.3725173388
56	0.371511813
57	0.3703300506
58	0.3694771307
59	0.3687801875
60	0.3678407608
61	0.3672370984
62	0.3664787378
63	0.3658163749
64	0.3651366779
65	0.3646855953
66	0.3636540921
67	0.3631835244
68	0.3623744772
69	0.3618585355
70	0.3611835117
71	0.3602409005
72	0.3595344727
73	0.3587322482
74	0.3583529269
75	0.3576612074
76	0.3571021401
77	0.3567249994
78	0.3564005338
79	0.3559482559
80	0.3554879404
81	0.3551579542
82	0.3545535543
83	0.3542438925
84	0.353769854
85	0.3535270344
86	0.3532575789
87	0.3528387563
88	0.3522256244
89	0.3519667445
90	0.3518572408
91	0.3515947007
92	0.351221696
93	0.3506045017
94	0.3504928592
95	0.3501690777
96	0.3498848123
97	0.3493450099
98	0.3491527785
99	0.3489710267
100	0.3487248932
101	0.3485154185
102	0.348323801
103	0.3481000318
104	0.3478849983
105	0.3476748898
106	0.3475049711
107	0.3473791232
108	0.3470166089
109	0.3469778566
110	0.3467358029
111	0.3465866535
112	0.3462287154
113	0.3455791775
114	0.3449046746
115	0.3445436054
116	0.3444655709
117	0.3439186764
118	0.3437145817
119	0.3432247242
120	0.3429766764
121	0.342665251
122	0.3425525658
123	0.3423713024
124	0.3421620335
125	0.3420144466
126	0.3418632427
127	0.3417279039
128	0.3413529211
129	0.3411164155
130	0.340805458
131	0.340618623
132	0.3404531902
133	0.3402580626
134	0.3400753406
135	0.3399248454
136	0.3395249997
137	0.3392635937
138	0.339074478
139	0.338971429
140	0.338839196
141	0.3385315868
142	0.3383581043
143	0.3383060901
144	0.3378767675
145	0.3373682755
146	0.3371319653
147	0.3369475062
148	0.3367165026
149	0.3364850587
150	0.336180915
151	0.3359006343
152	0.3356627931
153	0.3354797196
154	0.3353813342
155	0.3351422853
156	0.334941196
157	0.3347595439
158	0.3345787004
159	0.3344705483
160	0.3342658975
161	0.3341330666
162	0.3338945714
163	0.3337991155
164	0.3336767699
165	0.3335243632
166	0.33342174
167	0.3332461716
168	0.3329552663
169	0.3328036735
170	0.3326934627
171	0.3324202949
172	0.3322529778
173	0.3320061264
174	0.3318894363
175	0.3317152453
176	0.3315550063
177	0.3313957444
178	0.3312989566
179	0.331203804
180	0.3310811317
181	0.3309541636
182	0.3308315775
183	0.3307107562
184	0.3305849937
185	0.3303550017
186	0.3301360495
187	0.3299386067
188	0.329819353
189	0.3295243505
190	0.329423608
191	0.3292051444
192	0.3291153093
193	0.3290133444
194	0.3288494507
195	0.3287702004
196	0.3286981392
197	0.3286302063
198	0.3281865615
199	0.3279645415
